"Genes","LundEAC","MSK2020_EAConly","TCGA_2017_only","esca_broad","is_oesophageal","is_predicted_driver","p_value","fdr_p_value","is_significant_fdr"
"MAX",0.03125,0.003,NA,NA,FALSE,FALSE,0.0154597702454103,0.0481883106055152,TRUE
"MCL1",0.03125,NA,NA,NA,FALSE,TRUE,0.00104118913321937,0.00530443653005002,TRUE
"MET",0.03125,0.014,0.025,0.02,FALSE,TRUE,0.786376402915862,0.816704969419504,FALSE
"MITF",0.03125,0.01,NA,0.013,FALSE,TRUE,0.37243038373708,0.433352637866912,FALSE
"MMP2",0.03125,NA,0.025,0.007,FALSE,FALSE,0.0321869626098634,0.0751021612407144,FALSE
"MSH2",0.03125,0.003,NA,NA,FALSE,TRUE,0.0154597702454103,0.0481883106055152,TRUE
"MSH6",0.03125,0.007,0.051,0.02,FALSE,FALSE,0.0702111122925133,0.12725764103018,FALSE
"MX2",0.03125,NA,NA,NA,FALSE,FALSE,0.00104118913321937,0.00530443653005002,TRUE
"MYC",0.03125,0.003,NA,0.013,FALSE,TRUE,0.105503926159818,0.166422511139127,FALSE
"MYCL",0.03125,0.007,0.013,0.007,FALSE,TRUE,0.359350796311221,0.423360156904157,FALSE
"MYCN",0.03125,0.003,NA,0.007,FALSE,TRUE,0.0762228258284994,0.133404134294496,FALSE
"NACAD",0.03125,NA,0.038,NA,FALSE,FALSE,0.0013648332048301,0.00668236517170062,TRUE
"NBN",0.03125,0.007,0.025,0.013,FALSE,TRUE,0.367121189032827,0.430602718063792,FALSE
"NDRG4",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"NF1",0.03125,0.049,0.063,0.033,FALSE,TRUE,0.683227083229012,0.721503110300666,FALSE
"NR2C2",0.03125,NA,0.038,0.013,FALSE,FALSE,0.0187021628035621,0.0531048385803472,FALSE
"NUP93",0.03125,0.008,0.051,NA,FALSE,FALSE,0.00803752677806058,0.0315640374513421,TRUE
"OR51B4",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"OSBP",0.03125,NA,0.013,NA,FALSE,FALSE,0.00902328716052735,0.033350777054106,TRUE
"PALB2",0.03125,0.024,0.013,0.007,FALSE,FALSE,0.525700362556824,0.581199521067221,FALSE
"PAX6",0.03125,NA,0.025,NA,FALSE,FALSE,0.00603480099380522,0.0242034039857933,TRUE
"PAX7",0.03125,NA,0.013,0.007,FALSE,FALSE,0.0504700516384344,0.0956141179280892,FALSE
"PCDH11Y",0.03125,NA,0.013,0.026,FALSE,FALSE,0.0463248120996948,0.0904893998009583,FALSE
"PDGFRA",0.03125,0.01,0.025,0.02,FALSE,TRUE,0.57216303138175,0.626350926714495,FALSE
"PIK3CB",0.03125,0.007,0.025,NA,FALSE,FALSE,0.0977184678221223,0.158005924414835,FALSE
"PIK3R1",0.03125,0.003,0.051,0.04,FALSE,TRUE,0.0163219041891298,0.0481883106055152,TRUE
