Gene	mut	gain	loss
GS_058	0	0	0
EPCAM	0	0	0
BAT26	0	0	0
D2S123	0	0	0
XPO1	0	1.5625	0
GI_094	0	0	0
GS_003	0	0	0
TMEM127	0	0	0
GS_024	0	1.5625	0
VLGC_09	0	0	0
GS_033	0	0	0
GS_023	0	0	0
PDK1	0	1.5625	-1.5625
MLTK	0	1.5625	-1.5625
HiGC_03	0	1.5625	0
STAT4	0	1.5625	0
GS_092	0	3.125	0
BARD1	0	3.125	0
CS_462	0	1.5625	0
GS_072	0	1.5625	0
UGT1A1	0	1.5625	0
GS_087	0	1.5625	0
VHL	0	3.125	0
RAF1	0	1.5625	0
MLH1	0	0	0
MYD88	0	0	0
GS_009	0	0	0
GS_096	0	0	0
SH_005_R	0	0	0
GS_022	0	0	0
HiGC_08	0	0	0
SSR3	0	0	0
TERC	0	0	0
CLDN11	0	0	0
ST_003_R	0	0	0
GI_049	0	0	0
GS_043	0	0	0
KLHL6	0	1.5625	0
GS_035	0	1.5625	0
GS_069	0	0	0
KIAA0226	0	0	0
GS_061	0	0	0
GS_082	0	0	0
GS_020	0	0	0
CS_585	0	3.125	0
BAT25	0	3.125	0
ST_005_R	0	0	0
TET2	0	0	0
NEUROG2	0	0	0
FGF2	0	0	0
GS_017	0	0	0
SQ_009_R	0	1.5625	0
GS_051	0	0	0
GS_002	0	0	0
GI_070	0	0	0
HPGD	0	0	-1.5625
SD_001_R	0	0	-1.5625
GS_075	0	0	0
PRLR	0	6.25	0
GS_032	0	9.375	0
GS_053	0	0	0
CCNB1	0	0	0
SD_006_R	0	0	0
GI_006	0	0	0
GI_074	0	0	0
CHD1	0	1.5625	0
D5S346	0	0	0
LoGC_01	0	0	0
CTNNA1	0	0	-1.5625
GS_065	0	0	0
PDGFRB	0	0	0
GS_057	0	0	0
PTTG1	0	0	0
GS_021	0	0	0
NPM1	0	1.5625	0
VHGC_15	0	1.5625	0
IRF4	0	1.5625	0
GS_066	0	1.5625	0
CS_641	0	1.5625	0
DAXX	0	1.5625	0
HMGA1	0	1.5625	0
FANCE	0	1.5625	0
CDKN1A	0	1.5625	0
CS_648	0	1.5625	0
CCND3	0	6.25	0
GS_042	0	7.8125	0
VEGFA	0	7.8125	0
SH_006_R	0	0	0
CGA	0	0	0
GS_041	0	0	0
GS_067	0	0	0
PRDM1	0	6.25	0
CS_653	0	6.25	0
SNX3	0	3.125	0
CS_654	0	3.125	0
WISP3	0	1.5625	0
ROS1	0	0	0
LQ_003_R	0	1.5625	0
LD_003_R	0	0	0
VLGC_06	0	0	0
GS_014	0	0	0
SH_010_R	0	0	-1.5625
HiGC_02	0	6.25	0
RAC1	0	4.6875	0
LT_019_R	0	4.6875	0
SD_003_R	0	3.125	0
OGDH	0	6.25	0
GS_047	0	3.125	0
SD_004_R	0	15.625	0
GS_080	0	9.375	0
RASA4	0	14.0625	-7.8125
GS_050	0	6.25	0
GS_046	0	1.5625	0
SMO	0	1.5625	0
EZH2	0	1.5625	0
GI_093	0	1.5625	0
LQ_008_R	0	3.125	-1.5625
GS_084	0	4.6875	0
LH_009_R	0	6.25	0
GPR124	0	0	0
GS_011	0	4.6875	0
LoGC_04	0	4.6875	0
ST_008_R	0	4.6875	0
GS_013	0	4.6875	0
LD_001_R	0	6.25	0
GS_102	0	6.25	0
LT_001_R	0	6.25	0
GS_055	0	6.25	0
chr8:143740227-143747517	0	6.25	0
CDKN2B	0	0	-10.9375
GS_088	0	0	0
FANCG	0	1.5625	0
GS_007	0	0	0
NTRK2	0	0	0
GS_004	0	0	0
GADD45G	0	0	0
LH_008_R	0	1.5625	0
GS_037	0	1.5625	0
FANCC	0	1.5625	0
GS_089	0	0	0
SH_003_R	0	0	0
CS_766	0	0	0
VHGC_11	0	0	0
TSC1	0	0	0
REXO4	0	0	0
LHX3	0	0	0
EGFL7	0	0	0
LQ_001_R	0	0	0
GS_068	0	0	0
GS_040	0	1.5625	0
BMPR1A	0	0	-1.5625
CS_075	0	0	-1.5625
LD_100_R	0	0	0
SUFU	0	0	0
VHGC_17	0	0	0
GS_081	0	1.5625	0
FSHB	0	1.5625	0
GS_019	0	1.5625	0
GS_100	0	3.125	0
SDHAF2	0	1.5625	0
CAPN1	0	1.5625	0
AIP	0	4.6875	0
CCND1	0	9.375	0
FGF4	0	7.8125	0
FGF3	0	7.8125	0
C11orf30	0	6.25	0
GS_078	0	4.6875	0
MRE11A	0	1.5625	0
SDHD	0	0	0
CBL	0	1.5625	0
GI_099	0	0	0
GI_045	0	0	0
CI_019	0	3.125	0
VLGC_01	0	0	0
GS_026	0	0	0
SQ_006_R	0	1.5625	0
HMGA2	0	4.6875	0
GS_091	0	1.5625	0
VLGC_02	0	0	0
SOCS2	0	0	0
GS_052	0	0	0
CS_203	0	0	0
PTPN11	0	1.5625	0
TESC	0	1.5625	0
LoGC_02	0	0	0
FLT3	0	4.6875	0
LH_006_R	0	7.8125	0
HMGB1	0	7.8125	0
LoGC_05	0	7.8125	0
GS_095	0	3.125	0
LT_013_R	0	1.5625	0
GS_001	0	1.5625	0
GS_025	0	3.125	-1.5625
BCL2L2	0	0	0
GS_038	0	4.6875	0
ESR2	0	0	0
GS_056	0	0	0
HiGC_09	0	0	0
GS_031	0	0	0
GREM1	0	0	0
RAD51	0	0	0
CYP19A1	0	0	0
GS_073	0	0	0
